mass,C1pm,C1pmErr,N1C1p,N1C1pErr,N1C1m,N1C1mErr,N1N2,N1N2Err
100,3.3265418,0.0046283098,3.7894878,0.005356718,2.4581168,0.0033429461,3.6622075,0.0051689363
150,0.80360598,0.0010076787,0.9066801,0.0011411205,0.54500491,0.0006589069,0.81188222,0.0010112947
200,0.28796122,0.00033572119,0.32863004,0.00038236116,0.18508902,0.00020789368,0.28122416,0.00032366319
250,0.12673266,0.0001397788,0.14713459,0.00016077767,0.078182096,8.3220557E-05,0.1215553,0.00013171271
300,0.063453333,6.327672E-05,0.075041001,7.4057474E-05,0.037810884,3.5930355E-05,0.060136678,5.840167E-05
350,0.034671063,3.3420056E-05,0.041759674,3.9813849E-05,0.020041058,1.8528278E-05,0.032574585,3.0583473E-05
400,0.020197629,1.8965854E-05,0.024757122,2.2956157E-05,0.011358749,1.0040407E-05,0.018849847,1.7214848E-05
450,0.012351934,1.138771E-05,0.015394621,1.4185286E-05,0.0067779641,6.0461046E-06,0.011463797,1.0307459E-05
500,0.0078477622,7.1756287E-06,0.0099362215,8.9423604E-06,0.0042100571,3.6736043E-06,0.007246997,6.4817008E-06
550,0.005142752,4.6094784E-06,0.0066050805,6.0002138E-06,0.0027008237,2.3626775E-06,0.0047279107,4.1350758E-06
600,0.0034531823,3.0498956E-06,0.0044983165,4.011738E-06,0.0017791868,1.5182106E-06,0.0031621165,2.7340912E-06
650,0.0023702005,2.0957972E-06,0.0031201267,2.7497369E-06,0.0011989971,1.0020676E-06,0.0021611597,1.8676844E-06
700,0.0016561686,1.4490756E-06,0.0022050832,1.9288038E-06,0.00082347482,7.0806847E-07,0.001504559,1.2864E-06
750,0.0011749969,1.0133112E-06,0.0015786756,1.3723692E-06,0.00057498359,4.8426604E-07,0.0010632982,8.9941713E-07
800,0.00084476147,7.1969173E-07,0.001143715,1.0021244E-06,0.00040719929,3.4009994E-07,0.00076149878,6.4147374E-07
850,0.00061428307,5.1703497E-07,0.00083718987,7.2677372E-07,0.00029200897,2.4573029E-07,0.00055150848,4.5911438E-07
900,0.00045070081,3.8572728E-07,0.00061839205,5.5352765E-07,0.00021180247,1.7883184E-07,0.00040262046,3.4878209E-07
950,0.00033440138,2.7390869E-07,0.00045889322,4.0689898E-07,0.00015496109,1.2681979E-07,0.00029759274,2.4175197E-07
1000,0.00024990144,2.0252772E-07,0.00034245217,3.0058806E-07,0.00011455127,9.1070004E-08,0.00022136315,1.7733063E-07
